,MAE,RMSE,R2,MAPE
XGBoost,18.554250717163086,23.723795679555842,0.4605461359024048,170107347140608.0
RandomForest,18.700107732838664,23.908926253598434,0.4520939846266854,166662997519900.1
LinearRegression,18.810357806317604,24.039365641405293,0.44609927963085394,130635133342066.05
Ridge,18.810358235275494,24.03936577009553,0.4460992737004468,130635149593484.27
Lasso,18.83717002235373,24.066873932093362,0.44483089509522167,128770212516333.53
Baseline,26.0933068123129,32.30039461489548,-3.6378893504274146e-06,247012455858598.06
